app_package,rating,votes,date,uid,unix_timestamp,app_category,word_count,review,classification,app_name
com.mseven.barolo,4,5,29-May-21,jc0gaT4Rxp9T9xHu,1622260800.0,Productivity,67,"Still on the trial right now but from what I've experienced, this is a pretty good password manager. Especially syncing with iOS and my Windows computer. Not really a fan of storing sensitive things on the cloud so the alternatives are pretty cool. Give a few more weeks to go thru usage and if all goes well this gets the 5th star worth the one time payment.",0,mSecure - Password Manager
com.tickettothemoon.gradient.photo,4,0,16-Apr-20,D8odHVoH2JSQOzlD,1587009600.0,Photography,35,"The information is not accurate, it uses your current IP location to judge your ethnicity which is bs. And ofc you cannot give an entire DNA report judging on a picture... Still fun app though!",1,Gradient: Face Beauty Editor
com.is.core.app,4,68,18-Feb-21,4edbzCTqFxBQWCFq,1613624400.0,Communication,31,I loved this app. Amazing app. But some disappointing to this app. Pls add notification feature and improve calling feature. Also add more privacy feature. Add local backup feature in smartphone.,0,Comera - Video Calls & Chat
com.joycity.god,1,2,25-Nov-19,AtLzqhcd45p7dVCf,1574658000.0,Board,44,"They deleted my last review because it was scathing. Could be a good game but it's 100% pay to win. Spend roughly $1400 per month or so or you'll lose... a lot. If you don't mind getting destroyed a bunch, then it's not bad.",0,Game of Dice: Board&Card&Anime
com.life360.android.safetymapd,5,0,13-Mar-22,leZU0SlQZBFVAKgr,1647147600.0,Lifestyle,34,"This is just the best app ever, it allows ne to keep track of my children and know they are safe. It also allows me to inform them if they are driving to fast😁",0,Life360: Find Family & Friends
com.symantec.mobilesecurity,5,0,10-Jan-22,S2znsxpiS2yjkLR9,1641790800.0,Tools,37,It just works! I have Norton 360 both on my laptop and on my phone. It's simple enough but still very effective. Haven't found anything wrong with it during the last 6 years I have used it.,0,Norton 360: Mobile Security
com.ucturbo,4,1,27-Aug-21,Sx1B4oseHW2eekzo,1630036800.0,Communication,20,It's a good app.Every functions work great & browser specially and private space is also given that's a big thing.,0,"UC Browser Turbo- Fast Download, Secure, Ad Block"
com.vivint.vivintsky,5,2,20-May-19,TrIFLvm9ywwVQ6JA,1558324800.0,House & Home,39,"Honestly the best purchase I have made of recent memory. Its been almost a week and I still havent went a day without finding a new way to nake my life easier,more secure,or save time. Sincerely, A grateful customer!",0,Vivint
com.hellobrigit.Brigit,2,14,15-May-20,kJ45nUDFTqeNcpK4,1589515200.0,Finance,52,"works for the first month or two but then it lowers your amount you're allowed to borrow even though you haven't and then come over $5,000 a month and then charges you on top of that 10 to $20 a month and service fees do not download this app is a joke",0,Brigit: Borrow & Build Credit
com.fidelity.wi.activity,5,0,23-Feb-20,XHbzn9WxPElTGaT9,1582434000.0,Finance,29,Does what I need it to. View my 401K and HSA balances. Quick and easy login. Fingerprint login available if your device allows it. Easy to move around in.,0,NetBenefits - Fidelity at Work
com.washingtonfederal.mobilebanking,1,0,15-Oct-18,XOJbl3hYL5gyvi8f,1539576000.0,Finance,25,Can not open app even after updating my info online. Online did not give me an option to change the phone number to my cell.,0,WaFd Bank
com.healthifyme.basic,1,52,5-Jan-21,jbXnnEJqt7NRFBKK,1609822800.0,Health & Fitness,40,Its a scam. Too generalised and they do not issue a refund if you aren't happy with the service. All means plans are based on what u select. It only gives you a calorie count which is available on Google.,0,"HealthifyMe - Calorie Counter, Diet Plan, Trainers"
org.mozilla.firefox,1,75,1-Nov-20,qLuDcOT5RRAekCFo,1604203200.0,Communication,89,"Decided to go back to the Firefox app after the most recent update to Chrome made it unusable due to constant crashes. Unfortunately, Firefox has been just as useless. Everything typed into the search bar is an ""insecure connection"" even trying to open their support page. The only info I could find was it's due to Avast or Adguard. Which I do not have. I shouldn't have to jump through hoops to try and figure out why an app isn't working when it should right from the get go.",0,Firefox Fast & Private Browser
org.mozilla.focus,5,7,15-Feb-19,Q8Eh1eemUDQwoLTI,1550206800.0,Communication,36,"works well, good for private browsing. they should update it to allow opening new links in a different tab and also give the option of closing one or more tabs. it's all or none right now",0,Firefox Focus: No Fuss Browser
com.nttsolmare.game.android.obeyme,5,1,22-Mar-22,239A3wbNBtlaLJfF,1647921600.0,Role Playing,50,I still love this game. I was going crazy 🤪 not being able to play it. The problem was fixed and now I am happy once again. I just turned off the data security. I have a Samsung phone. Hope it helps someone else who is having the same problem.,1,Obey Me! Anime Otome Sim Game
com.venmo,5,53,8-Feb-22,3btoG5JJpu6aZFcZ,1644296400.0,Finance,96,"The app works flawlessly and I use it all the time. I'm also in the technology business and have been for 30 years so I'm not sure why somebody who is ""tech savvy"" can't get this running. It couldn't be easier! I added a bank manually it was no problem was sent small deposits to confirm and easy. I don't know why somebody would be shocked that you had to confirm your bank account! Good God of course you would have to do that, if not somebody would easily take over your account. Good job devs!",1,Venmo
com.symantec.mobilesecurity,2,0,12-Mar-22,Gud59viD1QpM7cCt,1647061200.0,Tools,32,"My phone was hacked in a phishing virus Email PDF & I downloaded this for protection, but every scan says device is safe & no viruses when I obviously do have viruses.",1,Norton 360: Mobile Security
